Sample,TS,VLP,Neck,Neck Diameter 1,Neck Diameter 2,Neck Energy,Sphere Diameter,Sphere Energy,Mean Curvature Neck,Std of Mean Curvature Neck,Mean Curvature Sphere,Std of Mean Curvature Sphere
3,2,1,True,NaN,NaN,0.04089247018880679,76.20147320463677,0.04270793675528373,0.013884782682292804,0.024232005226208886,-0.02714966524942795,0.01611420800470079
3,2,2,False,NaN,NaN,NaN,65.70182918834213,0.08381818681981182,0.013884782682292804,0.024232005226208886,-0.03387414621832557,0.026052764296360945
3,3,1,True,24.669654692867866,18.253478249241628,0.03170438765251629,87.03655554301926,0.024976476524843635,0.010985311311567368,0.015431680612174854,-0.02289324751320008,0.009623036525486796
3,3,2,True,18.15972358750725,15.621548503886803,0.04476464087196852,70.82102057166327,0.038416958040365906,0.008939769907804079,0.023813258814428726,-0.02810679156695242,0.012733712864097134
3,3,3,True,NaN,NaN,0.07196993576321448,84.58427643655939,0.03325258193576915,0.0010007990032954398,0.037836066004640866,-0.02402873570375139,0.013423703278764099
3,3,4,True,22.574019237142483,14.612666808965482,0.024503154009731663,81.55546138069383,0.026527519257126344,0.007101554613443535,0.013772126175918583,-0.024568556416265073,0.008262780667682875
3,3,5,True,33.11764922959691,20.317357531886422,0.046088667532068396,85.07481576102899,0.022476715759506955,0.01721858852056367,0.019279820964579437,-0.02380286520595941,0.00688800076768171
3,4,1,True,NaN,NaN,0.06511859503875636,78.70692294387065,0.05073008858818232,-0.0010393618094655865,0.035208202224948304,-0.028225608256472825,0.019998556489342904
3,4,2,True,NaN,NaN,0.03427735328611823,77.89012353607193,0.04044418877661971,0.006285402826813827,0.022918742172573843,-0.024743821931436205,0.017091480068549797
3,4,3,True,NaN,NaN,0.06779082898894818,76.52252982579155,0.08810160541607268,-0.01021243357970321,0.03448240391607301,-0.026511322983165345,0.030265326918847677
3,4,4,True,NaN,NaN,0.026749169479452113,82.56083099698697,0.029232525456475634,0.004166989774889213,0.018681784213398406,-0.023442112001362442,0.013481135896804653
3,5,1,True,NaN,NaN,0.02822448785080594,68.57942918433722,0.05746208808738831,0.0015532953988893357,0.019513560551991653,-0.031304146949526726,0.01775209318148249
3,6,1,True,NaN,NaN,0.04199486094530316,78.50114111884447,0.031039517542237674,0.011063433633417443,0.024662139491797897,-0.023428476482200946,0.013287854714933324
3,6,2,True,NaN,NaN,0.08110814639465891,68.88658057331878,0.09858958748831403,-0.01580281476967236,0.039126007179227366,-0.03267177196576128,0.03136448496268389
3,6,3,True,27.829059347062167,22.695474691325597,0.04247994886928155,83.66603308813573,0.026551370826107087,0.01814156610454327,0.01649487182435556,-0.022562871901354396,0.011537965784272025
3,6,4,False,NaN,NaN,NaN,65.51389801281303,0.04221055127440483,0.01814156610454327,0.01649487182435556,-0.030457950911275886,0.012068433671428718
3,6,5,False,NaN,NaN,NaN,71.2351423661837,0.07420226408422054,0.01814156610454327,0.01649487182435556,-0.03148359488098444,0.02562547991136408
4,3,1,True,NaN,NaN,0.03027964945842412,112.11752114423635,0.07868714455657053,-0.0033096141410905344,0.023387064823033734,-0.02425140443568858,0.031145300784145055
4,3,2,False,NaN,NaN,NaN,93.6320975022541,0.051090176390783656,-0.0033096141410905344,0.023387064823033734,-0.02546052865824467,0.020816833161633252
4,3,3,False,NaN,NaN,NaN,105.23027460377735,0.04100359929643576,-0.0033096141410905344,0.023387064823033734,-0.02506101627440916,0.014815387140755799
4,3,4,False,NaN,NaN,NaN,101.00897645051603,0.03906995485540004,-0.0033096141410905344,0.023387064823033734,-0.02249637981752522,0.018448436364482085
4,3,5,False,NaN,NaN,NaN,97.2541653905825,0.023838069705394965,-0.0033096141410905344,0.023387064823033734,-0.02169557666949889,0.010546299857366513
4,3,6,False,NaN,NaN,NaN,110.41422920478145,0.03212501998178043,-0.0033096141410905344,0.023387064823033734,-0.02191745805700046,0.01404067932706909
4,3,7,False,NaN,NaN,NaN,99.4270898665264,0.06385826398603484,-0.0033096141410905344,0.023387064823033734,-0.02379848119497354,0.0269378854306574
4,3,8,False,NaN,NaN,NaN,112.01446220372688,0.046845336529609975,-0.0033096141410905344,0.023387064823033734,-0.023529780394893028,0.019436369851667912
4,3,9,False,NaN,NaN,NaN,78.94832407762635,0.054979642178086596,-0.0033096141410905344,0.023387064823033734,-0.02663387506117166,0.021044088576318492
4,4,1,True,NaN,NaN,0.043235040344053,114.19949136004857,0.026609466568723615,-0.004450028425172575,0.026892616950244714,-0.020558974707138918,0.013048429507651914
4,4,2,False,NaN,NaN,NaN,92.58736156921249,0.0350472638536164,-0.004450028425172575,0.026892616950244714,-0.024647780419740216,0.014400486813205557
4,4,3,False,NaN,NaN,NaN,80.51586145812892,0.03937528854930542,-0.004450028425172575,0.026892616950244714,-0.02553768514773947,0.01608853517950801
4,5,1,True,NaN,NaN,0.04318101523471524,110.8923501581188,0.044895260250536334,-0.001458173578393769,0.02739564461301291,-0.022370080655680313,0.01981817320467166
4,5,2,True,NaN,NaN,0.061014952518371544,84.09871373806138,0.04924343625585073,0.00140078269811382,0.032574168177945874,-0.025750544154770523,0.019327983868955328
4,5,3,False,NaN,NaN,NaN,74.0547437800775,0.06244813006559423,0.00140078269811382,0.032574168177945874,-0.028158590884869206,0.023016657789659608
5,7,1,True,22.681283977594617,22.16373215827172,0.02887219856843676,83.34753372611321,0.04421880449848151,0.00805904470552353,0.017863251223149926,-0.024501005562881904,0.01866523458497825
